id,course,question
27,ASU Online,What type of visa do I need if I am an international student applying for ASU Online?
27,ASU Online,Can international students in the U.S. apply for online programs?
27,ASU Online,What should I select for my visa type when applying from abroad?
27,ASU Online,Are student visas available for online students at ASU?
27,ASU Online,What visa type is recommended for those living outside the U.S. during application?
28,ASU Online,Can I use the New American University Scholarship for an online program?
28,ASU Online,Are there any scholarships available for online students?
28,ASU Online,What types of financial aid are available for ASU online?
28,ASU Online,Is there a difference in scholarships for campus and online students?
28,ASU Online,How do online students apply for scholarships at ASU?
29,ASU Online,Is it possible to pursue a second bachelor's degree at ASU Online if I already hold one?
29,ASU Online,What status will I have in the admission process if I apply with an existing degree?
29,ASU Online,Can I receive credit for some of my previous courses when enrolling at ASU Online?
29,ASU Online,Do I need to go through a different application process as a transfer student?
29,ASU Online,Are there any specific requirements for enrolling in a second bachelor's degree program?
30,ASU Online,Is there a specific time frame for applying to ASU Online?
30,ASU Online,Are there application deadlines for different terms at ASU Online?
30,ASU Online,How do I ensure I am using the correct application for ASU Online?
30,ASU Online,Can I submit my application to ASU Online whenever I want?
30,ASU Online,Where should I apply for ASU Online admissions?
31,ASU Online,Are online students allowed to live in dorms on campus?
31,ASU Online,What campus facilities can online students access?
31,ASU Online,Can online students participate in ASU clubs and organizations?
31,ASU Online,Do online students have to pay for athletic event tickets?
31,ASU Online,What kind of events can online students attend at ASU?
32,ASU Online,When can I expect to get my billing statement after registering for courses?
32,ASU Online,What online resources are available for managing my tuition payments?
32,ASU Online,Where can I find information about payment options at ASU?
32,ASU Online,Is there a specific platform where I can view my billing information?
32,ASU Online,How do I pay my tuition fees online at ASU?
33,ASU Online,Is there a standard application fee waiver available for prospective students?
33,ASU Online,Can I receive a reduced fee option for the application fee?
33,ASU Online,How are fee waivers determined for the application fee?
33,ASU Online,Who should I contact for details about application fee waivers?
33,ASU Online,Are application fee waivers available to everyone who applies?
34,ASU Online,What is the process for starting classes at ASU Online?
34,ASU Online,How long does it take to receive an admission decision after applying?
34,ASU Online,What documents are required for my ASU Online application?
34,ASU Online,How soon can I enroll in courses once admitted?
34,ASU Online,What factors influence the time it takes to process applications at ASU?
35,ASU Online,Do I need to submit a new application for ASU Online if I was accepted to an on-campus program and enrolled?
35,ASU Online,What if I was admitted to an on-campus program but never attended ASU?
35,ASU Online,Is it necessary to reapply for ASU Online if my previous application expired?
35,ASU Online,What happens to my ASU application if I didn't complete it?
35,ASU Online,Can I transition from an on-campus program to ASU Online without a new application?
36,ASU Online,What is the schedule for class offerings throughout the year?
36,ASU Online,How many times per year can I start classes at ASU Online?
36,ASU Online,Are there specific dates I should know for the academic calendar?
36,ASU Online,During which semesters are classes available for enrollment?
36,ASU Online,Can I find details about start dates for various programs?
37,ASU Online,What options do I have if my GPA doesn't meet the requirements for my chosen major at ASU Online?
37,ASU Online,Can I still get into ASU Online if I meet the general admission requirements but not the major-specific GPA?
37,ASU Online,What is the Earned Admission program and how does it work for students with a low GPA?
37,ASU Online,How can I explore my options for admission if I don't meet the specific GPA for my degree?
37,ASU Online,Is a cumulative GPA of 2.75 sufficient for admission into ASU Online through the Earned Admission program?
38,ASU Online,How can I find out the estimated costs before I apply to ASU online?
38,ASU Online,Is there a way to get in touch with a financial aid advisor prior to enrollment?
38,ASU Online,Can I estimate the tuition fees for my degree at ASU online?
38,ASU Online,What resources are available to understand financial aid options before applying?
38,ASU Online,Is it possible to calculate my tuition expenses before I decide to enroll?
39,ASU Online,What is the maximum number of transfer credits allowed for undergraduate degrees at ASU?
39,ASU Online,Are there any exceptions to the transfer credit policy for special programs at ASU?
39,ASU Online,How many graduate-level credit hours can be accepted for graduate programs at ASU?
39,ASU Online,Who can I contact to get a pre-evaluation of my transfer credits for ASU Online?
39,ASU Online,Does the transferability of specific courses depend on the program I am enrolled in at ASU?
40,ASU Online,What kind of support does ASU Online provide for students with disabilities?
40,ASU Online,How can online students access disability support services at ASU?
40,ASU Online,Is there a process for getting accommodations for physical disabilities at ASU Online?
40,ASU Online,What types of training does ASU offer to promote awareness of accessibility?
40,ASU Online,Are there transportation options available for students with disabilities at ASU?
41,ASU Online,Are GMAT waivers available for ASU Online graduate programs?
41,ASU Online,Do any ASU Online graduate programs not require the GRE?
41,ASU Online,How are GMAT waiver decisions made at ASU Online?
41,ASU Online,Who should I contact for information about GMAT waivers at ASU Online?
41,ASU Online,Can my success coach assist me with the GMAT waiver process?
42,ASU Online,Do the credits I earn from ASU have an expiration date?
42,ASU Online,What happens to transfer credits over time?
42,ASU Online,Are there specific courses that may require retaking after some years?
42,ASU Online,Will I need to retake courses in economics or computers?
42,ASU Online,How does the relevance of older courses affect my degree?
43,ASU Online,What options do I have if I don't meet the undergraduate admission requirements for ASU?
43,ASU Online,Is there a specific process I should follow if I don't qualify for admission to a graduate program?
43,ASU Online,How can I find out more about improving my chances of getting admitted after my initial application?
43,ASU Online,Who should I contact to discuss my admission status if I'm not accepted into my desired program?
43,ASU Online,Can an enrollment advisor assist me in understanding the Earned Admission track for undergraduate applicants?
44,ASU Online,What is the reputation of ASU Online in terms of rankings for its programs?
44,ASU Online,How does ASU Online compare to other institutions in terms of innovation?
44,ASU Online,Which programs are recognized in the rankings for ASU Online?
44,ASU Online,Who teaches the online courses at ASU Online?
44,ASU Online,Where can I find reviews and accolades regarding ASU Online?
45,ASU Online,What steps do I need to follow to find and enroll in my classes at ASU Online?
45,ASU Online,Where do I enter my ASURITE ID and password for accessing courses?
45,ASU Online,Can you guide me on how to locate the Class Search feature after logging in?
45,ASU Online,What should I do after selecting my class from the Class Search?
45,ASU Online,Will I be able to add a class immediately after finding it in the system?
46,ASU Online,Can I apply for a graduate program at ASU Online if I haven't completed my undergraduate degree yet?
46,ASU Online,What GPA information do I need to provide on my graduate application while finishing my bachelor's?
46,ASU Online,Are there any specific deadlines for applying to graduate programs at ASU Online?
46,ASU Online,What type of transcripts do I need to submit with my graduate application?
46,ASU Online,Is it possible to start a graduate program immediately after finishing my undergraduate degree?
47,ASU Online,Will I have to attend live sessions for my online classes at ASU?
47,ASU Online,Are there specific times I need to log in for online courses?
47,ASU Online,Do certain courses include synchronous components or group work?
47,ASU Online,How can I find out the scheduling requirements for my classes?
47,ASU Online,Is it essential to check the syllabus for each class I enroll in?
48,ASU Online,Can I earn a degree using credits from nondegree courses?
48,ASU Online,How many credit hours can I apply as a nondegree undergraduate student?
48,ASU Online,Is there a limit on credits for graduate nondegree students?
48,ASU Online,What happens to my nondegree course credits when I apply for a degree?
48,ASU Online,Are there different credit allowances for undergraduates and graduates?
49,ASU Online,What factors determine the time it takes to complete an online degree at ASU?
49,ASU Online,Is it possible to finish my bachelor's degree in less than four years online?
49,ASU Online,How many credit hours do I need to take each semester for a full-time course load?
49,ASU Online,Can I consult with an academic advisor about my degree timeline at ASU?
49,ASU Online,What is the typical duration for earning a master's degree online from ASU?
50,ASU Online,What criteria do students need to meet for transferring to ASU?
50,ASU Online,Is it common for students to transfer credits to ASU?
50,ASU Online,Where can I find more details on transfer admission requirements?
50,ASU Online,Are there specific program requirements for transfer students at ASU?
50,ASU Online,How easy is it for transfer students to have their credits recognized?
51,ASU Online,What resources are available to help me determine which credits I can transfer to ASU Online?
51,ASU Online,How can I find out how my credits will fit into a degree program at ASU?
51,ASU Online,Is there someone who can evaluate my previous coursework for transferability to ASU?
51,ASU Online,Can I get assistance from an enrollment coach regarding my transferable credits?
51,ASU Online,Who should I contact for a pre-evaluation of my academic credits for ASU Online?
52,ASU Online,What resources does ASU Online provide for academic advising?
52,ASU Online,Is there a specific process to locate my advisor?
52,ASU Online,How can I contact my advisor once I find them?
52,ASU Online,What support services are available for online students?
52,ASU Online,Can I meet with my advisor virtually?
